title,author,length
Ship of Prophecy Box Set: The Complete 10-Book Series,By: Scott Bartlett,Length: 75 hrs and 29 mins
Behind a Locked Door,By: Sarah A. Denzil,Length: 8 hrs and 37 mins
Twisting Judgment,"By: Peter Kirkland, Daleth Hall",Length: 8 hrs and 54 mins
Leo's Lust,By: Gabbi Grey,Length: 39 mins
Starstruck!,By: Jay Trott,Length: 11 hrs and 12 mins
The Tempest Blade,By: Danielle L. Jensen,Length: 25 hrs and 55 mins
Cultivation Nerd 2,By: HolyMouse,Length: 16 hrs and 31 mins
Lower LDL Cholesterol Naturally with Food,"By: Michael Greger MD, Kristine Dennis",Length: 1 hr and 43 mins
The Remnant Blade,By: Mike Vincent,Length: 12 hrs and 9 mins
Little Stranger,By: Leigh Rivers,Length: 7 hrs and 24 mins
Stand Your Ground,By: Kandi Steiner,Length: 11 hrs and 26 mins
"Goodnight, Little Firefly",By: Julian Starrow,Length: 11 hrs and 28 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,By: Tess Lake,Length: 65 hrs and 31 mins
Vanished in the Falls,By: Elle Gray,Length: 7 hrs and 41 mins
The Fall Before Flight,By: L.M. Halloran,Length: 7 hrs and 32 mins
Starlight Frontier,By: Clara E. Whitmore,Length: 11 hrs and 24 mins
Digital Marketing Strategy,By: Dong K. Vega,Length: 4 hrs and 26 mins
Hashtag Holidate,By: Lucy Lennox,Length: 8 hrs and 54 mins
The Room Next Door,By: Wendy Walker,Length: 8 hrs and 46 mins
Restitution,By: Leigh Rivers,Length: 14 hrs and 7 mins
Whirlwind,By: Alison Rhymes,Length: 8 hrs and 20 mins
Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells (Light Novel) Vol. 2,By: Kaoru Sinozaki,Length: 5 hrs and 40 mins
Snow Day Adventure,By: William Joseph,Length: 1 hr and 5 mins
Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss! (Light Novel) Vol. 3,By: 猫子,Length: 5 hrs and 57 mins
Apocalypse BREAKER 2: Book 2 of a LitRPG Apocalypse,"By: Aaron Renfroe, Sean Oswald",Length: 22 hrs and 25 mins
Take This Heart,By: Willow Aster,Length: 10 hrs and 5 mins
Escaped: Shadows Landing,By: Kathleen Brooks,Length: 7 hrs and 30 mins
Flight of the Tiny Garden,By: Mr Richard Charles,Length: 1 hr and 10 mins
Mage Tank 3,By: Cornman,Length: 23 hrs and 5 mins
The Dynamic Power of Obedience,"By: A.W. Tozer, James L. Snyder",Length: 4 hrs and 1 min
Watcher on the Edge,By: Jeff Marsick,Length: 10 hrs and 29 mins
The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
Ready to Haul - The Essential Guide for New Truck Drivers,By: Georgiana Pride,Length: 1 hr
Scoundrel Take Me Away,By: Louisa Darling,Length: 11 hrs and 2 mins
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
Steeping Serenity,By: William Joseph,Length: 1 hr and 7 mins
Trish's Secret,By: Jay Trott,Length: 9 hrs and 50 mins
I'm Gonna Get You Back,By: Elena Armas,Length: 5 hrs and 27 mins
Dual Class 2: A LitRPG Adventure,By: Arthur Inverse,Length: 21 hrs and 27 mins
Rhythms of Rain,By: Amie Josephine,Length: 1 hr and 7 mins
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
Frozen Frame,By: Amie Josephine,Length: 1 hr and 5 mins
Mental Toughness,By: Marco Giron,Length: 4 hrs and 6 mins
Dungeon Crawler Carl,By: Matt Dinniman,Length: 13 hrs and 31 mins
Spicy Little Curses,By: J.T. Geissinger,Length: 2 hrs and 7 mins
Grim,"By: Joe Arden, D J Krimmer",Length: 11 hrs and 28 mins
Lettuce Turnip the Beet,By: Berlin Wick,Length: 6 hrs and 15 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
Lovely Venom,By: Deborah Garland,Length: 10 hrs and 23 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
How to Invest in Bitcoin and Cryptocurrency,By: Camden H. Rillstone,Length: 4 hrs and 6 mins
This Inevitable Ruin,By: Matt Dinniman,Length: 28 hrs and 40 mins
Camping 101,By: B L Maxwell,Length: 3 hrs and 4 mins
Build Your Own Weather Station,By: Geraldine Esposito,Length: 1 hr and 3 mins
The Energy Curfew Music Hour 2,"By: Chris Thile, Claire Coffee, Punch Brothers",Length: 7 hrs and 9 mins
The Dream Wedding,By: Renita D'Silva,Length: 7 hrs and 58 mins
A Killer in the Low Country,By: Candice Fox,Length: 5 hrs
Bitter Burn,By: Sierra Simone,Length: 17 hrs and 18 mins
Tomb World,By: Jonathan D Beer,Length: 10 hrs and 1 min
The Dungeon Anarchist's Cookbook,By: Matt Dinniman,Length: 16 hrs and 54 mins
Chrysalis 6: Antvance into the Unknown,By: RinoZ,Length: 19 hrs and 35 mins
Ugly Duckling,By: Lani Lynn Vale,Length: 5 hrs and 36 mins
Holiday Rider,By: Maggie Cole,Length: 10 hrs and 15 mins
"In Every Wave, the Entirety of the Sea",By: John Astin,Length: 6 hrs and 24 mins
Bound by Fire,By: Elli J. Morrigan,Length: 13 hrs and 40 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
Voracious,By: Leigh Rivers,Length: 10 hrs and 31 mins
Designing Peace,By: Mr Jonathan David,Length: 1 hr and 5 mins
Weather Wonders for Little Learners Fun and Easy Science Projects to Explore Rain Winds Clouds and More,By: Sanchez Rickard,Length: 1 hr
Tell Me Lies,By: J. P. Pomare,Length: 6 hrs and 20 mins
Thicker Than Water,By: Robin James,Length: 10 hrs and 19 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
The Gate of the Feral Gods,By: Matt Dinniman,Length: 18 hrs and 3 mins
Wings Wonder and Whimsy,By: Jennifer Andreas,Length: 1 hr and 9 mins
Scared Sexy,"By: Ali Hazelwood, Christina Lauren, J.T. Geissinger, Ruby Dixon, Katee Robert, Kimberly Lemming",Length: 11 hrs and 6 mins
Burning Star,By: Michelle Madow,Length: 6 hrs and 20 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 26 hrs and 19 mins
Game Over,By: Selena Winters,Length: 9 hrs and 40 mins
Echoes,By: Steph Macca,Length: 7 hrs and 7 mins
Solfeggio Frequencies: 33-in-1,By: Selena Arwen-Daventry,Length: 37 hrs and 29 mins
The Vampire's Delicious Fae,By: Michele Notaro,Length: 8 hrs and 42 mins
Look Closer,By: David Ellis,Length: 13 hrs
The Ultimate Outdoor Wellness Kits Handbook Crafting Customizing,By: Cindy Romano,Length: 1 hr and 6 mins
Whiteout Survival: How to Prepare Endure and Recover from Nature's Harshest Snowstorms,By: Mary Gonzalez,Length: 1 hr and 1 min
Unbelievable Healer,By: Jonathan Brooks,Length: 14 hrs and 42 mins
Under Siege,"By: Eric Trump, Donald J. Trump - introduction, Lara Trump - introduction",Length: 8 hrs and 19 mins
Inspirational Basketball Stories for Young Girls Who Dare to Lead,By: Revil O.,Length: 4 hrs and 25 mins
The Jane Austen Collection,By: Jane Austen,Length: 45 hrs
Nailtok Dreams and Press-On Queens Mastering Viral Trends DIY Glam and Nail Care That Lasts Longer Than the Hype,By: Mercury Rising,Length: 1 hr and 2 mins
Los tres mundos,By: Santiago Posteguillo,Length: 32 hrs and 48 mins
Mind Reading Made Simple,By: Mind Academy,Length: 3 hrs and 16 mins
"She Professed Herself Pupil of the Wise Man, Vol. 5",By: Ryusen Hirotsugu,Length: 6 hrs and 51 mins
Goddess Tamer,By: Vic Void,Length: 4 hrs and 40 mins
The Holy Bible: King James Version,By: King James Bible,Length: 82 hrs and 53 mins
Chasing Love: The Owens,By: Piper Rayne,Length: 7 hrs and 45 mins
From Hiding to Healing,By: Emily Martinez,Length: 1 hr
Four Laws: The Complete Series,By: David Burke,Length: 85 hrs and 21 mins
Blend Juice,By: Norma Kelly,Length: 1 hr and 1 min
Loremaster: Dragon's Key,By: M. E. Robinson,Length: 25 hrs and 54 mins
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins
Tol-Saroth,"By: Neven Iliev, Ian Molnar - editor",Length: 16 hrs and 44 mins
Hilltop Harvesting Mastering the Art of Sustainable Farming on Sloped Terrain,By: Gennady Michael,Length: 3 hrs and 17 mins
Lucky,By: Sawyer Bennett,Length: 7 hrs and 56 mins
All DEAD,By: T. W. Brown,Length: 143 hrs and 15 mins
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min
Wizards & Weavers,By: Nazri Noor,Length: 9 hrs and 32 mins
Ruins of the Earth,"By: Christopher Hopper, J. N. Chaney",Length: 15 hrs and 59 mins
Defiance of the Fall 4: A LitRPG Adventure,"By: TheFirstDefier, JF Brink",Length: 22 hrs and 47 mins
Carl's Doomsday Scenario,By: Matt Dinniman,Length: 11 hrs and 28 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
The Spiritual Warrior's Guide to Defeating Narcissistic Witchcraft,By: Jennifer LeClaire,Length: 4 hrs and 16 mins
His to Steal,By: Autumn Archer,Length: 8 hrs
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
Without a Hitch,By: Portia MacIntosh,Length: 7 hrs and 32 mins
Sunrise on the Reaping,By: Suzanne Collins,Length: 12 hrs and 48 mins
Murder in Constantinople,By: A.E. Goldin,Length: 9 hrs and 25 mins
The Man Who Loved Too Much,By: Jay Trott,Length: 7 hrs and 18 mins
A People's History of the United States,By: Howard Zinn,Length: 34 hrs and 8 mins
The General of Izril,By: pirateaba,Length: 34 hrs and 1 min
Lemon: A 304 Love Story,By: T. Styles,Length: 5 hrs and 35 mins
Ravage,By: Steph Macca,Length: 7 hrs and 54 mins
Renegades,By: Craig Alanson,Length: 17 hrs and 7 mins
Vigor Mortis,By: J.P. Dumas,Length: 10 hrs and 40 mins
Dark Age,By: Pierce Brown,Length: 33 hrs and 58 mins
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
The Target,By: Lena Hendrix,Length: 7 hrs and 52 mins
Passage of Time Complete Collection: Missions 1-16,By: J.S. Morin,Length: 93 hrs and 1 min
Cursed Fates (Part 1 of 2) (Dramatized Adaptation),"By: Caroline Peckham, Susanne Valenti",Length: 11 hrs and 13 mins
Winter Solstice,By: pirateaba,Length: 34 hrs and 14 mins
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 41 mins
The Order of Architects: Book 6,"By: Oleg Sapphire, Yuri Vinokuroff, Christopher Michael Jarrett - translator",Length: 9 hrs and 56 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",By: Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Most Soulful Book,By: Jay Trott,Length: 4 hrs and 16 mins
"Merry Christmas, You Filthy Animal",By: Meghan Quinn,Length: 12 hrs and 6 mins
Dungeon Diving 204,By: Bruce Sentar,Length: 11 hrs and 48 mins
Wayspring Wanderer,By: Joedan Worley,Length: 10 hrs and 34 mins
Sexual Misconduct of the Middle Classes,By: Hannah Moscovitch,Length: 1 hr and 12 mins
Sweet Talk,By: Cara Bastone,Length: 5 hrs and 42 mins
Vortena,By: Neven Iliev,Length: 14 hrs and 11 mins
Ghost Stories from the Gilded Age,"By: Mary E. Braddon, Kate Chopin, Mary Cholmondeley, Ella D’Arcy, Elizabeth Gaskell, Charlotte Perkins Gilman, Hildegarde Hawthorne",Length: 8 hrs
Demolish Your Comfort Zones,By: Art Turock,Length: 7 hrs and 55 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
Mansfield Park,By: Jane Austen,Length: 14 hrs and 45 mins
Duskbound 2: A LitRPG Adventure,By: D.E. Sherman,Length: 12 hrs and 44 mins
If You Tell,By: Gregg Olsen,Length: 10 hrs and 34 mins
C. S. Lewis Essential Audio Library,By: C. S. Lewis,Length: 38 hrs and 50 mins
Separation of Church and Hate,By: John Fugelsang,Length: 9 hrs and 24 mins
Trusted Lies,By: Carolyn Ridder Aspenson,Length: 8 hrs and 7 mins
Quicksilver,By: Callie Hart,Length: 20 hrs and 41 mins
He Who Fights with Monsters 5,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 5 mins
Imprisoned,By: Selena Winters,Length: 9 hrs and 22 mins
A Love Letter to Whiskey,By: Kandi Steiner,Length: 17 hrs and 41 mins
Game of Nines,"By: James Patterson, Max DiLallo",Length: 3 hrs and 27 mins
Crazy in Love,By: Laura Pavlov,Length: 9 hrs and 28 mins
Blade of the Blue Star 3,By: Kal Griffith,Length: 10 hrs and 18 mins
My Daughter's Baby,By: Kate Hewitt,Length: 8 hrs and 35 mins
SEAL of Protection Box Set 3: Books 9-11,By: Susan Stoker,Length: 16 hrs and 9 mins
Space Vampire,By: Ruby Dixon,Length: 1 hr and 50 mins
A Flash of Shadow,By: Donna Ball,Length: 9 hrs and 19 mins
Twisted Love (Duet Edition),By: Ana Huang,Length: 10 hrs and 7 mins
Love's Most Wanted,By: Shvonne Latrice,Length: 13 hrs and 22 mins
Ride the Waves,By: Mr Richard Charles,Length: 1 hr and 3 mins
Fórmula para Soltar,By: Louise Hum,Length: 3 hrs and 32 mins
MeatEater's American History: The Hide Hunters (1865-1883),By: Steven Rinella,Length: 7 hrs and 30 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,By: Angela Pepper,Length: 77 hrs and 20 mins
Margie's Revenge,By: Jay Trott,Length: 8 hrs and 33 mins
Play with Me,By: Cora Rose,Length: 7 hrs and 18 mins
Cuando vi a la muerte prestar su sombrero,By: Rodrigo Unda,Length: 6 hrs and 36 mins
"Beechwood Harbor Ghost Mysteries Boxed Set, Book 1-3",By: Danielle Garrett,Length: 17 hrs and 3 mins
QUICK & EASY MEDITERRANEAN DIET COOKBOOK FOR BEGINNERS,By: Thelma Ansen,Length: 5 hrs and 57 mins
He Who Fights with Monsters 4,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 20 mins
Demon Card Enforcer 3,By: John Stovall,Length: 9 hrs and 46 mins
Skill Eater,By: Magnus Grey,Length: 26 hrs and 24 mins
Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
Murder at the Royal Palace,By: Verity Bright,Length: 9 hrs and 9 mins
The History of the Ancient World,By: Susan Wise Bauer,Length: 26 hrs and 20 mins
Pride and Prejudice,"By: Jane Austen, Lulu Raczka",Length: 4 hrs and 34 mins
He Who Fights with Monsters 9,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 3 mins
"1% Lifesteal, Volume 3",By: Robert Blaise,Length: 22 hrs and 56 mins
Bourbon and Proof,By: Victoria Wilder,Length: 13 hrs and 8 mins
You Thought You Knew,By: Kevin Federline,Length: 5 hrs and 53 mins
Iron Gold,By: Pierce Brown,Length: 23 hrs and 23 mins
Star Wars: Darth Plagueis,By: James Luceno,Length: 14 hrs and 45 mins
YouTube Basics,By: Liam Turner,Length: 3 hrs and 28 mins
The House Guest,By: Penelope Ward,Length: 8 hrs and 49 mins
How to Test Negative for Stupid,By: John Kennedy,Length: 8 hrs and 13 mins
The Ashes and the Star-Cursed King,By: Carissa Broadbent,Length: 19 hrs and 27 mins
Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
From Blood and Ash,By: Jennifer L. Armentrout,Length: 19 hrs and 46 mins
Vicious Games,By: Steph Macca,Length: 7 hrs and 29 mins
"I'm the Evil Lord of an Intergalactic Empire!, Vol. 4",By: Yomu Mishima,Length: 8 hrs and 30 mins
Crystal Clear,By: Arvi Aunola,Length: 1 hr and 9 mins
Awakening Your Inner Energy Intelligence,By: Uriel Maksumov,Length: 9 hrs and 39 mins
Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
Onyx Storm (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 10 hrs and 17 mins
Quasim II: King Inferno,By: Jahquel J.,Length: 9 hrs and 20 mins
Untapped,By: Dakota Krout,Length: 17 hrs and 59 mins
Armageddon,By: Craig Alanson,Length: 17 hrs and 51 mins
Dark Tempest,By: Jay R. R. Meekins,Length: 9 hrs and 8 mins
Cross Check Hearts,By: Nikki Lawson,Length: 14 hrs and 36 mins
The Paradise Charade,"By: T.B. Markinson, Miranda MacLeod",Length: 10 hrs and 2 mins
Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
Black AF History,By: Michael Harriot,Length: 15 hrs and 42 mins
The Three Brothers,By: Granger,Length: 15 hrs and 3 mins
Holler,By: Samuel Brower,Length: 6 hrs and 50 mins
Artemis,By: Andy Weir,Length: 8 hrs and 57 mins
The High Seer,By: Alex Bree,Length: 18 hrs and 11 mins
Brewmetheus Rising,By: Bland Samuel Christopher,Length: 1 hr and 2 mins
The Wandering Inn,By: pirateaba,Length: 48 hrs and 7 mins
The Last Light,By: pirateaba,Length: 52 hrs and 17 mins
By His Vow,By: Tracy Lorraine,Length: 16 hrs and 15 mins
All You Need Is Alien Love,By: Chloe Archer,Length: 9 hrs and 11 mins
The Wrong Witch to Hex With,By: Molly Harper,Length: 9 hrs and 22 mins
Boys of Briar Hall: The Complete Series,By: Elena Lawson,Length: 36 hrs and 34 mins
He Who Fights with Monsters 3,"By: Shirtaloon, Travis Deverell",Length: 24 hrs and 39 mins
He Who Fights with Monsters 10,"By: Shirtaloon, Travis Deverell",Length: 25 hrs and 18 mins
The Lions of Mercer,"By: John Lovell, Harrison Kone",Length: 7 hrs and 53 mins
Falling,By: Christina Lauren,Length: 1 hr and 39 mins
Biblical Prophecies Decoded,By: Logan Cross,Length: 4 hrs and 47 mins
Offside,By: Avery Keelan,Length: 17 hrs and 40 mins
The Will of the Many,By: James Islington,Length: 28 hrs and 14 mins
The Slipper Scandal,By: Melanie Rachel,Length: 10 hrs and 31 mins
The Intruder,By: Freida McFadden,Length: 8 hrs and 19 mins
American Wasteland: The Complete Box Set,By: Mark Goodwin,Length: 21 hrs and 11 mins
Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
The Fix,By: Mia Sheridan,Length: 12 hrs and 48 mins
Voidscarred,By: Mike Brooks,Length: 10 hrs and 11 mins
Radley's Island for Horny Monsters,By: Annabelle Hawthorne,Length: 30 hrs and 25 mins
He Who Fights with Monsters 6,"By: Shirtaloon, Travis Deverell",Length: 15 hrs and 49 mins
Black Notice,By: Joy Ellis,Length: 14 hrs and 27 mins
Wandering in Darkness,By: Alice Winters,Length: 9 hrs and 9 mins
Hero of Another World: Summoner of Legend 2,"By: Dante King, Matt Waid",Length: 10 hrs and 44 mins
The Flirting Game,By: Lauren Blakely,Length: 8 hrs and 28 mins
Red Elf Ranch: The Omnibus Edition,By: Michael Dalton,Length: 20 hrs and 16 mins
Hot for Slayer,By: Ali Hazelwood,Length: 2 hrs and 42 mins
Adventure Like a Pro,By: Bland Samuel Christopher,Length: 1 hr
Death Row,By: Freida McFadden,Length: 1 hr and 44 mins
Beautiful Surrender,By: Ivy Wild,Length: 8 hrs and 31 mins
I Married Amreth,By: Regine Abel,Length: 10 hrs and 15 mins
Dirty Little Secrets,By: K.G. Reuss,Length: 9 hrs and 12 mins
Her Buried Past,By: Carolyn Arnold,Length: 7 hrs and 43 mins
Onyx Storm,By: Rebecca Yarros,Length: 23 hrs and 52 mins
Take Control of Your Life,By: Mel Robbins,Length: 10 hrs and 3 mins
"Bitter Harvest - Bunburry - A Cosy Mystery Series, Episode 19",By: Helena Marchmont,Length: 3 hrs and 30 mins
Scent of Terror,By: Laura Scott,Length: 7 hrs and 19 mins
The Friends and Rivals Collection,By: Lauren Blakely,Length: 34 hrs and 46 mins
The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins
The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 53 mins
"Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs, Vol. 6",By: 三嶋与夢,Length: 8 hrs and 18 mins
The Primal of Blood and Bone,By: Jennifer L. Armentrout,Length: 40 hrs and 34 mins
The Primal Hunter 7 - A LitRPG Adventure,By: Zogarth,Length: 17 hrs and 49 mins
The Chateau,By: Avery Bishop,Length: 7 hrs and 32 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 7 hrs and 52 mins
The Empath and Narcissist Playbook,By: Ellis D. Mercer,Length: 5 hrs and 5 mins
Mark of the Fool 5,By: J.M. Clarke,Length: 18 hrs and 30 mins
Charassi’s Fae Queen: Six Book World Boxset,By: Ava Richardson,Length: 55 hrs and 35 mins
The Complete Sinful Men Collection,By: Lauren Blakely,Length: 36 hrs and 38 mins
He Who Fights with Monsters 12: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 19 hrs and 26 mins
